city_alias,city_alias_norm,metro_title,primary_state,region,population,alias_match_rank
Killeen,KILLEEN,"Killeen-Temple, TX",TX,South,509487,1
Killeen Temple,KILLEEN TEMPLE,"Killeen-Temple, TX",TX,South,509487,1
Killeen-Temple,KILLEEN-TEMPLE,"Killeen-Temple, TX",TX,South,509487,1
Kingman,KINGMAN,"Lake Havasu City-Kingman, AZ",AZ,West,226479,1
Kingsport,KINGSPORT,"Kingsport-Bristol, TN-VA",TN,South,314259,1
Kingsport Bristol,KINGSPORT BRISTOL,"Kingsport-Bristol, TN-VA",TN,South,314259,1
Kingsport-Bristol,KINGSPORT-BRISTOL,"Kingsport-Bristol, TN-VA",TN,South,314259,1
Kingston,KINGSTON,"Kingston, NY",NY,Northeast,182977,1
Kiryas Joel,KIRYAS JOEL,"Kiryas Joel-Poughkeepsie-Newburgh, NY",NY,Northeast,711730,1
Kiryas Joel Poughkeepsie Newburgh,KIRYAS JOEL POUGHKEEPSIE NEWBURGH,"Kiryas Joel-Poughkeepsie-Newburgh, NY",NY,Northeast,711730,1
Kiryas Joel-Poughkeepsie-Newburgh,KIRYAS JOEL-POUGHKEEPSIE-NEWBURGH,"Kiryas Joel-Poughkeepsie-Newburgh, NY",NY,Northeast,711730,1
Kissimmee,KISSIMMEE,"Orlando-Kissimmee-Sanford, FL",FL,South,2940513,1
Knoxville,KNOXVILLE,"Knoxville, TN",TN,South,957376,1
Kokomo,KOKOMO,"Kokomo, IN",IN,Midwest,84082,1
La Crosse,LA CROSSE,"La Crosse-Onalaska, WI-MN",WI,Midwest,170763,1
La Crosse Onalaska,LA CROSSE ONALASKA,"La Crosse-Onalaska, WI-MN",WI,Midwest,170763,1
La Crosse-Onalaska,LA CROSSE-ONALASKA,"La Crosse-Onalaska, WI-MN",WI,Midwest,170763,1
La Porte,LA PORTE,"Michigan City-La Porte, IN",IN,Midwest,111348,1
Lacey,LACEY,"Olympia-Lacey-Tumwater, WA",WA,West,302912,1
Lafayette,LAFAYETTE,"Lafayette, LA",LA,South,419704,1
Lafayette,LAFAYETTE,"Lafayette-West Lafayette, IN",IN,Midwest,231353,2
Lafayette West Lafayette,LAFAYETTE WEST LAFAYETTE,"Lafayette-West Lafayette, IN",IN,Midwest,231353,1
Lafayette-West Lafayette,LAFAYETTE-WEST LAFAYETTE,"Lafayette-West Lafayette, IN",IN,Midwest,231353,1
Lake Charles,LAKE CHARLES,"Lake Charles, LA",LA,South,243719,1
Lake Havasu City,LAKE HAVASU CITY,"Lake Havasu City-Kingman, AZ",AZ,West,226479,1
Lake Havasu City Kingman,LAKE HAVASU CITY KINGMAN,"Lake Havasu City-Kingman, AZ",AZ,West,226479,1
Lake Havasu City-Kingman,LAKE HAVASU CITY-KINGMAN,"Lake Havasu City-Kingman, AZ",AZ,West,226479,1
Lakeland,LAKELAND,"Lakeland-Winter Haven, FL",FL,South,852878,1
Lakeland Winter Haven,LAKELAND WINTER HAVEN,"Lakeland-Winter Haven, FL",FL,South,852878,1
Lakeland-Winter Haven,LAKELAND-WINTER HAVEN,"Lakeland-Winter Haven, FL",FL,South,852878,1
Lancaster,LANCASTER,"Lancaster, PA",PA,Northeast,563293,1
Lansing,LANSING,"Lansing-East Lansing, MI",MI,Midwest,479971,1
Lansing East Lansing,LANSING EAST LANSING,"Lansing-East Lansing, MI",MI,Midwest,479971,1
Lansing-East Lansing,LANSING-EAST LANSING,"Lansing-East Lansing, MI",MI,Midwest,479971,1
Laredo,LAREDO,"Laredo, TX",TX,South,272823,1
Las Cruces,LAS CRUCES,"Las Cruces, NM",NM,West,229366,1
Las Vegas,LAS VEGAS,"Las Vegas-Henderson-North Las Vegas, NV",NV,West,2398871,1
Las Vegas Henderson North Las Vegas,LAS VEGAS HENDERSON NORTH LAS VEGAS,"Las Vegas-Henderson-North Las Vegas, NV",NV,West,2398871,1
Las Vegas-Henderson-North Las Vegas,LAS VEGAS-HENDERSON-NORTH LAS VEGAS,"Las Vegas-Henderson-North Las Vegas, NV",NV,West,2398871,1
Lawrence,LAWRENCE,"Lawrence, KS",KS,Midwest,121989,1
Lawton,LAWTON,"Lawton, OK",OK,South,126503,1
Lebanon,LEBANON,"Lebanon, PA",PA,Northeast,145319,1
Lehi,LEHI,"Provo-Orem-Lehi, UT",UT,West,760154,1
Lenoir,LENOIR,"Hickory-Lenoir-Morganton, NC",NC,South,373031,1
Lewiston,LEWISTON,"Lewiston-Auburn, ME",ME,Northeast,115272,1
Lewiston,LEWISTON,"Lewiston, ID-WA",ID,West,65370,2
Lewiston Auburn,LEWISTON AUBURN,"Lewiston-Auburn, ME",ME,Northeast,115272,1
Lewiston-Auburn,LEWISTON-AUBURN,"Lewiston-Auburn, ME",ME,Northeast,115272,1
Lexington,LEXINGTON,"Lexington-Fayette, KY",KY,South,533366,1
Lexington Fayette,LEXINGTON FAYETTE,"Lexington-Fayette, KY",KY,South,533366,1
Lexington Park,LEXINGTON PARK,"Lexington Park, MD",MD,South,211382,1
Lexington-Fayette,LEXINGTON-FAYETTE,"Lexington-Fayette, KY",KY,South,533366,1
Lima,LIMA,"Lima, OH",OH,Midwest,100866,1
Lincoln,LINCOLN,"Lincoln, NE",NE,Midwest,351919,1
Little Rock,LITTLE ROCK,"Little Rock-North Little Rock-Conway, AR",AR,South,770959,1
